Days,Blaine,Residue90,Residue45,NC%,L0I%,SO3%,C3S%,C2S%,C3A%,LSF%,Moisture%,ClinkerLiter,ClinkerFeedTemp,Water,CementTemp,GADosage,CementStrength
28,3179.369657,1.04137421,10.9316044,29.24587477,2.313675106,2.625776436,58.0984972,11.05933645,7.340370746,95.10380189,0.141109361,1343.539365,154.3651975,1544.130401,101.6987259,463.8434985,942.3264108
1,3397.782985,1.438330743,14.18745395,29.49574321,2.694677192,2.476712982,57.80996424,12.35084042,7.940448506,95.38223742,0.172192923,1339.596159,169.7886353,1820.044492,100.5541589,452.3031532,1000.986096
28,3070.370101,1.275793936,11.66073206,28.06973032,2.349188323,2.48470214,56.72960224,11.08970714,7.082715462,95.62016908,0.138480362,1366.930861,161.4887351,2259.730528,103.3114649,496.5412037,1051.875345
28,3007.230145,1.082417131,11.55722132,29.78984288,2.392452365,2.593840635,56.57594761,11.90119404,7.930887372,96.46344947,0.148937645,1389.18931,152.7577054,1191.22852,107.6597157,483.0399265,886.6807097
1,3197.557486,1.205627558,11.1369781,29.72025363,2.320678735,2.701701418,58.85928863,12.85885339,7.82671466,96.28127119,0.142960859,1330.605146,163.7752508,2200.309522,104.1367868,487.3181442,1048.364489
1,3071.529084,1.388801142,13.03947197,28.9148642,2.556001187,2.647799101,55.43212305,11.33040788,7.129929925,95.83188781,0.174062615,1355.187714,167.9548713,2294.513569,106.5297292,465.578587,1045.556658
28,3146.587514,1.240185041,11.89652849,28.78233953,2.389880471,2.518942019,56.18392155,11.77974471,7.564984358,96.51813788,0.18629724,1378.940942,164.9035899,1226.031231,105.796191,492.2826761,906.3550449
7,3297.668209,1.492643025,13.72124826,28.54591875,2.372004175,2.572134871,58.66224366,12.45972062,7.866547982,96.21926202,0.153188908,1341.621806,151.5287972,2277.391479,100.2221848,462.9801642,1065.248192
28,3288.37597,1.188369485,11.02789904,28.95335366,2.335422234,2.468265903,57.74160292,12.76451711,7.571809164,96.7920816,0.178943219,1316.811813,167.9176836,2487.180352,109.8853999,450.0821879,1083.699792
28,3123.224317,1.37478915,13.93894944,28.08875333,2.341323583,2.429851926,55.63994104,12.34188601,7.907199822,96.6360535,0.129678668,1347.495097,165.8785877,2090.258247,100.4142809,468.8207481,1020.585954
28,3217.016092,1.196494724,13.01860766,29.70438707,2.53386828,2.713078416,59.41067807,11.51634651,7.942983817,95.50562721,0.154136961,1305.522252,153.166078,2177.154523,109.6780274,478.538074,1036.738093
28,3203.525631,1.41458211,10.5713365,28.07084474,2.575283146,2.506154964,56.96723923,12.34921571,7.422384522,95.54287716,0.134522995,1394.238345,151.0357178,2491.622901,105.4986418,473.9352429,1099.281773
1,3254.533047,1.284540735,12.07252292,28.65810273,2.458951595,2.471106555,59.13934188,11.59345528,7.377313661,95.25071295,0.141420093,1307.482121,161.1462115,1908.221876,109.6315903,493.1038071,1003.809833
28,3100.184727,1.031755915,14.3175907,29.86317898,2.491958833,2.676647222,58.93856508,12.43685846,7.936321154,95.67392945,0.173241386,1343.845672,153.1207162,1461.829573,101.147536,455.2702643,921.3749281
7,3235.948339,1.018410934,14.61480116,29.47042531,2.574387094,2.64722067,58.12212723,12.90806626,7.675140061,96.99908784,0.188166248,1352.988126,166.6918191,2256.296251,104.9040852,477.691172,1060.267736
1,3391.557143,1.066926059,12.32850061,28.56278192,2.306951916,2.65327585,57.47240566,12.4427869,7.116022681,95.81150234,0.112149539,1398.530383,157.1666931,1921.728666,101.6950409,475.6489675,1034.009474
7,3194.696861,1.006835982,12.40418489,28.50529819,2.429252263,2.491557842,59.8977542,12.72576101,7.042291749,95.44097687,0.163463926,1316.602182,168.2578489,1871.793136,100.5097488,464.0696491,987.3976126
7,3362.439515,1.03767953,14.59227362,28.01016428,2.689239099,2.493058215,55.72482536,11.00420769,7.564629051,96.52496577,0.158214381,1311.443152,161.3137634,1380.453333,106.1752912,491.1114056,937.3327522
7,3173.757746,1.345857199,12.93534112,29.39142859,2.532044892,2.488321052,58.62577864,12.43514425,7.930170965,96.08494201,0.111841504,1300.870615,153.6534477,2134.501404,102.0778342,487.6424328,1028.974423
7,3140.031363,1.267173138,10.16423335,28.09756716,2.401689832,2.469501038,55.95595351,12.65917511,7.844248702,95.2992029,0.121189433,1315.557144,152.7919773,1122.500914,105.8769702,486.6429594,876.5705965
1,3258.041345,1.374955375,14.56374731,29.06520504,2.508692019,2.662289469,56.69131553,11.08111748,7.675847746,95.76137936,0.131100249,1320.727298,161.5294488,2386.430606,101.1236448,493.8096239,1081.302888
1,3267.569624,1.456582876,11.24113221,29.92424395,2.437061395,2.739206354,56.54349372,12.74319545,7.139115849,95.82893943,0.116693107,1363.058094,165.2376722,1488.735191,103.3198647,486.13923,952.1722826
7,3345.667026,1.292574766,12.88815977,28.21893772,2.512897996,2.689726988,59.73517994,11.51338846,7.254231384,96.5076594,0.124372948,1321.970679,165.630113,1191.661979,107.8163256,461.5920646,899.850837
7,3092.074107,1.363060422,10.82756659,29.78895986,2.350296605,2.716837454,59.83678089,12.3305842,7.875511227,95.04134274,0.12676008,1302.052081,155.5151481,1663.5498,104.3705152,485.2781356,950.3389014
1,3199.677352,1.378540601,10.1693958,29.98295067,2.353085862,2.561919372,55.91507722,12.60070976,7.182807237,95.53803929,0.133567383,1382.661835,154.0849352,1063.704864,106.2774541,465.3851407,880.0106706
1,3228.80168,1.188925275,11.55736586,28.12303405,2.357416945,2.661630318,55.1101758,12.32532903,7.278439408,96.0351926,0.174939045,1336.55957,150.3351261,2026.939291,106.4745794,462.1087325,1018.280705
1,3307.421606,1.120542416,13.90247854,29.76581254,2.675927917,2.541694496,58.6000402,11.18456958,7.129600651,95.53769348,0.15719122,1335.369669,163.583983,2354.058266,108.4375504,453.6501796,1071.183073
28,3017.441509,1.102522664,11.38793586,29.03215804,2.593159567,2.610201849,57.08994967,12.19264304,7.676108231,96.25686809,0.198624667,1330.247903,151.5313652,2255.894511,103.2492279,487.201429,1037.277992
28,3397.820204,1.12572122,11.10048607,29.81302744,2.364952758,2.592653939,55.44420123,12.09916731,7.943982305,95.96373496,0.141473583,1397.537328,158.415224,1191.05421,106.8729556,485.5500481,927.9669195
28,3187.977806,1.137365899,11.06340392,29.14263788,2.375339634,2.470754858,58.41877053,12.80064254,7.268968032,95.72342051,0.175386507,1317.011542,162.0336433,1189.406706,109.6161581,461.7249739,882.0838928
7,3111.824137,1.103613825,12.57586841,29.32422402,2.59233179,2.554831504,57.72552764,11.80847946,7.475406608,96.89841725,0.187146842,1389.823806,168.7421789,2220.151723,107.3024333,487.4689508,1051.30957
28,3353.397609,1.439110334,14.87770658,29.08755782,2.362465538,2.78552891,59.90258411,11.64216219,7.63433974,96.264319,0.167897849,1377.680333,156.2360427,2386.381412,104.8987048,495.8920442,1102.405852
